event_date|repo                                       |total_pushes|total_commits|last_push              |unique_contributors|total_pr_opened|last_pr_opened_number|last_pr_opened_at      |total_pr_closed|last_pr_closed_number|last_pr_closed_at      |
----------+-------------------------------------------+------------+-------------+-----------------------+-------------------+---------------+---------------------+-----------------------+---------------+---------------------+-----------------------+
2015-01-18|qingzhouhack/wolverinescheduler2           |         419|          430|2015-01-18 17:59:31.000|                  4|              1|                    1|2015-01-18 05:33:56.000|              1|                    1|2015-01-18 05:35:31.000|
2015-01-20|SAHSComputerScience/Scratch                |         323|          655|2015-01-20 16:41:32.000|                  1|               |                     |                       |            321|                  447|2015-01-20 16:41:31.000|
2015-01-13|timfenney/foo                              |         319|          329|2015-01-13 20:58:10.000|                  1|              8|                   21|2015-01-13 20:59:04.000|              8|                   20|2015-01-13 20:58:44.000|
2015-02-08|cusuh/codr                                 |         281|          474|2015-02-08 17:10:40.000|                  6|              2|                    2|2015-02-08 14:55:15.000|              2|                    2|2015-02-08 14:56:10.000|
2015-01-12|ncss-2015-group-4/trivia                   |         275|         1151|2015-01-12 19:38:01.000|                 20|              1|                    3|2015-01-12 00:17:26.000|              1|                    3|2015-01-12 00:17:29.000|
2015-02-08|katelyndunaski/Turned-On                   |         246|          394|2015-02-08 17:24:13.000|                  5|              1|                    2|2015-02-08 02:04:34.000|              1|                    2|2015-02-08 02:04:38.000|
2015-01-15|rust-lang/rust                             |         236|          661|2015-01-15 22:43:01.000|                  2|             26|                21214|2015-01-15 23:18:14.000|              5|                21173|2015-01-15 22:54:25.000|
2015-01-12|anne55n/anastassiya_neznanova              |         234|          383|2015-01-12 05:15:28.000|                  1|            105|                  199|2015-01-12 05:15:25.000|            105|                  199|2015-01-12 05:15:28.000|
2015-01-27|autolander/autolander-test                 |         220|          343|2015-01-27 23:26:02.000|                  1|            102|                    3|2015-01-27 23:25:24.000|             48|                    2|2015-01-27 23:26:02.000|
2015-01-28|autolander/autolander-test                 |         208|          328|2015-01-28 20:07:27.000|                  1|             81|                    3|2015-01-28 20:07:13.000|             48|                    2|2015-01-28 20:07:27.000|
2015-01-20|caskdata/cdap                              |         202|         1133|2015-01-20 23:58:41.000|                 14|             28|                 1052|2015-01-20 23:47:50.000|             27|                 1051|2015-01-20 23:57:27.000|
2015-01-25|Vadman97/LetsGit                           |         199|          270|2015-01-25 23:31:00.000|                  5|              1|                    5|2015-01-25 11:06:06.000|              1|                    5|2015-01-25 11:06:13.000|
2015-02-09|wyldstallyns/M3G4M4N_kernel_m8             |         196|          379|2015-02-09 23:59:12.000|                  2|              2|                   21|2015-02-09 01:01:50.000|              2|                   21|2015-02-09 01:01:53.000|
2015-02-10|software-engineering-amsterdam/many-ql     |         190|          420|2015-02-10 23:11:07.000|                 37|               |                     |                       |              1|                    2|2015-02-10 08:04:12.000|
2015-01-13|sagemath/grant-europe                      |         190|          384|2015-01-13 23:57:37.000|                 19|               |                     |                       |              1|                   23|2015-01-13 01:06:49.000|
2015-01-11|anne55n/anastassiya_neznanova              |         188|          358|2015-01-11 23:37:50.000|                  1|             80|                   94|2015-01-11 23:37:47.000|             80|                   94|2015-01-11 23:37:49.000|
2015-01-08|EnoF/con-rest                              |         186|          216|2015-01-08 19:05:46.000|                  1|              3|                   39|2015-01-08 15:30:37.000|              3|                   38|2015-01-08 13:06:07.000|
2015-01-25|anne55n/queenscollege                      |         181|          277|2015-01-25 22:05:08.000|                  1|             84|                   92|2015-01-25 22:05:03.000|             85|                   92|2015-01-25 22:05:08.000|
2015-01-19|vlsergey/infosec                           |         175|          355|2015-01-19 10:05:07.000|                  1|               |                     |                       |            177|                 2470|2015-01-19 10:04:59.000|
2015-02-05|dimitrisXri/board3                         |         171|          199|2015-02-05 22:43:34.000|                  1|              6|                    6|2015-02-05 19:25:49.000|              6|                    6|2015-02-05 19:58:39.000|
2015-01-28|mapbox/mason                               |         169|          170|2015-01-28 23:05:26.000|                  2|              1|                   57|2015-01-28 04:23:26.000|              1|                   57|2015-01-28 04:24:55.000|
2015-01-30|techjewel/CWC-Project                      |         169|          808|2015-01-30 23:51:00.000|                  4|             50|                   67|2015-01-30 23:09:23.000|             50|                   67|2015-01-30 23:09:27.000|
2015-02-11|odoo-dev/odoo                              |         167|          661|2015-02-11 21:57:01.000|                 45|               |                     |                       |              1|                   82|2015-02-11 12:47:47.000|
2015-01-25|ovgu-ccd/jchess                            |         164|          269|2015-01-25 20:10:07.000|                  4|             15|                  114|2015-01-25 20:03:15.000|             15|                  114|2015-01-25 20:06:03.000|
2015-01-14|edx/edx-platform                           |         159|          829|2015-01-14 23:37:51.000|                 33|             25|                 6632|2015-01-14 23:51:12.000|             40|                 6628|2015-01-14 22:55:13.000|
2015-01-06|odoo-dev/odoo                              |         156|         1836|2015-01-06 21:47:22.000|                 45|               |                     |                       |              1|                   71|2015-01-06 16:35:52.000|
2015-02-12|jaredmorgs/jaredmorgs.github.io            |         151|          125|2015-02-12 23:04:31.000|                  1|               |                     |                       |              1|                    2|2015-02-12 10:21:08.000|
2015-01-07|odoo-dev/odoo                              |         148|          941|2015-01-07 17:42:20.000|                 41|               |                     |                       |              1|                   69|2015-01-07 10:55:38.000|
2015-01-24|ElliotJH/hots                              |         148|          271|2015-01-24 23:19:53.000|                  6|              1|                    1|2015-01-24 12:13:08.000|              1|                    1|2015-01-24 12:13:43.000|
2015-01-13|edx/edx-platform                           |         145|          725|2015-01-13 23:32:26.000|                 37|             29|                 6607|2015-01-13 23:37:57.000|             29|                 6602|2015-01-13 22:04:39.000|
2015-02-09|MountainRoseHerbs/spree                    |         144|          278|2015-02-09 23:03:49.000|                  2|              1|                   48|2015-02-09 06:11:01.000|              3|                   48|2015-02-09 13:11:59.000|
2015-02-01|HallofFamer/PHP-Collections-Framework      |         144|          157|2015-02-01 20:53:26.000|                  1|              7|                   15|2015-02-01 20:21:31.000|              7|                   15|2015-02-01 20:53:25.000|
2015-01-11|ncss-2015-group-4/trivia                   |         138|          604|2015-01-11 23:58:48.000|                 16|              1|                    2|2015-01-11 23:52:01.000|              1|                    2|2015-01-11 23:52:07.000|
2015-01-12|edx/edx-platform                           |         137|          571|2015-01-12 23:52:57.000|                 36|             32|                 6578|2015-01-12 22:23:37.000|             26|                 6574|2015-01-12 23:52:29.000|
2015-01-25|Furyhunter/GGJ15                           |         136|          506|2015-01-25 21:02:14.000|                  4|             42|                   59|2015-01-25 20:49:12.000|             42|                   59|2015-01-25 20:49:16.000|
2015-02-12|odoo-dev/odoo                              |         135|          990|2015-02-12 21:36:48.000|                 44|              2|                   85|2015-02-12 14:04:30.000|              1|                   84|2015-02-12 09:05:45.000|
2015-01-29|odoo-dev/odoo                              |         133|          644|2015-01-29 18:29:51.000|                 37|              3|                   77|2015-01-29 13:04:42.000|              2|                   76|2015-01-29 07:00:51.000|
2015-01-09|edx/edx-platform                           |         132|          523|2015-01-09 23:18:23.000|                 33|             28|                 6539|2015-01-09 22:23:51.000|             27|                 6537|2015-01-09 22:42:49.000|
2015-01-30|angular/material                           |         131|          131|2015-01-30 20:03:53.000|                  3|              2|                 1350|2015-01-30 20:05:41.000|              2|                 1342|2015-01-30 19:32:10.000|
2015-01-18|sdp-23/carepackages                        |         130|          179|2015-01-18 18:00:02.000|                  3|              2|                    2|2015-01-18 00:36:26.000|              2|                    2|2015-01-18 00:36:50.000|
2015-01-23|RatchyZanko/M2                             |         129|          389|2015-01-23 21:32:08.000|                  5|             45|                   45|2015-01-23 21:22:31.000|             47|                   45|2015-01-23 21:22:39.000|
2015-01-28|fnaard/te-puppetcode                       |         128|          182|2015-01-28 14:52:59.000|                 14|              9|                    9|2015-01-28 13:32:42.000|              7|                    9|2015-01-28 13:35:38.000|
2015-01-05|edx/edx-platform                           |         127|          707|2015-01-05 23:23:13.000|                 36|             21|                 6456|2015-01-05 22:30:30.000|             20|                 6448|2015-01-05 21:03:58.000|
2015-01-07|coreos/etcd                                |         127|          647|2015-01-07 21:41:27.000|                  2|              3|                 2057|2015-01-07 21:20:05.000|              5|                 2057|2015-01-07 21:41:26.000|
2015-01-14|rob0215/sna_final_project_6th              |         127|          247|2015-01-14 22:47:00.000|                  5|             59|                   90|2015-01-14 22:46:58.000|             60|                   90|2015-01-14 22:47:00.000|
2015-01-22|infoburp/coursemap                         |         125|          213|2015-01-22 18:44:09.000|                  1|              8|                   15|2015-01-22 18:44:03.000|              8|                   15|2015-01-22 18:44:08.000|
2015-01-26|mks65-dw/final                             |         125|          201|2015-01-26 23:59:57.000|                 28|              1|                    3|2015-01-26 04:29:42.000|              1|                    3|2015-01-26 04:29:46.000|
2015-02-14|grace-notes/website                        |         125|          127|2015-02-14 23:59:47.000|                  2|              1|                    3|2015-02-14 16:31:57.000|              1|                    3|2015-02-14 20:30:16.000|
2015-02-09|autolander/autolander-test                 |         125|          195|2015-02-09 15:09:44.000|                  1|             52|                    3|2015-02-09 15:09:26.000|             30|                    2|2015-02-09 15:09:44.000|
2015-01-08|edx/edx-platform                           |         124|          674|2015-01-08 23:19:38.000|                 33|             19|                 6510|2015-01-08 23:03:03.000|             21|                 6504|2015-01-08 21:36:54.000|
2015-02-12|autolander/autolander-test                 |         122|          221|2015-02-12 18:10:07.000|                  1|             45|                    3|2015-02-12 18:09:49.000|             32|                    2|2015-02-12 18:10:07.000|
2015-01-25|archcomet/SuperAstroBreakersGGJ2015        |         122|          804|2015-01-25 23:39:55.000|                  6|             49|                   55|2015-01-25 23:31:56.000|             50|                   55|2015-01-25 23:32:13.000|
2015-01-25|CounterpartyXCP/Documentation              |         120|          120|2015-01-25 22:46:28.000|                  3|              2|                   13|2015-01-25 07:08:42.000|              2|                   13|2015-01-25 14:09:30.000|
2015-02-11|CocoaPods/Specs                            |         120|          121|2015-02-11 23:47:36.000|                  3|              2|                12956|2015-02-11 08:49:19.000|              2|                12956|2015-02-11 18:23:56.000|
2015-02-08|wolfd/friendcast                           |         119|          147|2015-02-08 18:06:30.000|                  3|             12|                   13|2015-02-08 15:25:25.000|             12|                   13|2015-02-08 15:25:27.000|
2015-02-02|odoo-dev/odoo                              |         118|          731|2015-02-02 21:10:50.000|                 34|              1|                   78|2015-02-02 15:53:28.000|              1|                   73|2015-02-02 15:22:37.000|
2015-01-11|Yukineko-mew/projectFinalReport            |         117|          167|2015-01-11 18:31:47.000|                 16|             65|                  303|2015-01-11 18:28:51.000|             46|                  287|2015-01-11 15:32:07.000|
2015-01-18|ari-org-test-01/rep_test                   |         116|          139|2015-01-18 15:58:45.000|                  2|              2|                    2|2015-01-18 05:23:16.000|              2|                    2|2015-01-18 05:24:00.000|
2015-01-24|leitchc/MadJam                             |         115|          172|2015-01-24 23:52:00.000|                  5|              8|                    8|2015-01-24 23:15:32.000|              8|                    8|2015-01-24 23:15:59.000|
2015-01-29|findsorguk/findsorguk                      |         115|          181|2015-01-29 20:44:52.000|                  2|             51|                  503|2015-01-29 20:44:49.000|             51|                  503|2015-01-29 20:44:51.000|
2015-01-07|EnoF/con-rest                              |         114|          117|2015-01-07 20:36:57.000|                  1|              1|                   36|2015-01-07 15:18:44.000|              1|                   35|2015-01-07 12:09:43.000|
2015-01-24|jeff1evesque/geolocation-web               |         113|          492|2015-01-24 23:56:44.000|                  1|             47|                  191|2015-01-24 23:56:37.000|             47|                  191|2015-01-24 23:56:44.000|
2015-01-12|odoo-dev/odoo                              |         112|          799|2015-01-12 20:06:53.000|                 36|               |                     |                       |              1|                   71|2015-01-12 10:57:57.000|
