event_date|actor                         |push_count|pr_count|total_commits|last_activity          |
----------+------------------------------+----------+--------+-------------+-----------------------+
2015-01-15|KenanSulayman                 |      1846|       1|         1848|2015-01-15 23:59:15.000|
2015-01-23|KenanSulayman                 |      1840|       1|         1840|2015-01-23 23:59:54.000|
2015-01-27|KenanSulayman                 |      1824|       3|         1826|2015-01-27 23:59:18.000|
2015-01-30|KenanSulayman                 |      1807|       2|         1810|2015-01-30 23:59:53.000|
2015-01-29|KenanSulayman                 |      1802|       2|         1821|2015-01-29 23:59:29.000|
2015-02-06|KenanSulayman                 |      1782|       1|         1783|2015-02-06 23:59:12.000|
2015-02-11|KenanSulayman                 |      1770|       1|         1770|2015-02-11 23:59:58.000|
2015-02-12|KenanSulayman                 |      1764|       1|         1764|2015-02-12 23:59:38.000|
2015-02-13|KenanSulayman                 |      1758|       3|         1760|2015-02-13 23:59:26.000|
2015-02-09|KenanSulayman                 |      1608|       1|         1609|2015-02-09 23:59:31.000|
2015-01-16|mAAdhaTTah                    |      1594|       2|         1595|2015-01-16 13:48:43.000|
2015-01-17|mAAdhaTTah                    |      1288|       1|         1320|2015-01-17 23:01:18.000|
2015-02-06|Sambillingham                 |       916|       2|          918|2015-02-06 17:34:36.000|
2015-01-26|alexcrichton                  |       680|       1|          719|2015-01-26 23:39:42.000|
2015-02-06|asfgit                        |       623|      81|          896|2015-02-06 23:58:06.000|
2015-02-12|asfgit                        |       615|      51|         1106|2015-02-12 23:53:42.000|
2015-02-08|sindresorhus                  |       586|       6|          604|2015-02-08 19:03:54.000|
2015-01-29|openstack-gerrit              |       574|       1|          864|2015-01-29 23:59:08.000|
2015-02-11|asfgit                        |       555|      52|          842|2015-02-11 23:48:00.000|
2015-02-05|asfgit                        |       529|      58|          735|2015-02-05 23:56:52.000|
2015-02-13|asfgit                        |       529|      26|          847|2015-02-13 23:59:21.000|
2015-01-29|asfgit                        |       517|      46|          794|2015-01-29 23:51:21.000|
2015-02-10|asfgit                        |       496|      53|          766|2015-02-10 23:58:03.000|
2015-01-23|asfgit                        |       496|      29|          771|2015-01-23 23:52:00.000|
2015-01-11|briandfoy                     |       494|       1|         1063|2015-01-11 13:21:11.000|
2015-01-21|asfgit                        |       484|      27|          678|2015-01-21 23:58:14.000|
2015-01-22|asfgit                        |       479|      29|          818|2015-01-22 23:55:33.000|
2015-01-27|asfgit                        |       476|      35|          814|2015-01-27 23:56:29.000|
2015-02-13|openstack-gerrit              |       465|       1|          705|2015-02-13 23:54:34.000|
2015-01-07|k-okada                       |       465|       3|         1637|2015-01-07 09:24:07.000|
2015-01-13|asfgit                        |       459|      24|          688|2015-01-13 23:54:23.000|
2015-01-27|openstack-gerrit              |       451|       1|          655|2015-01-27 23:57:34.000|
2015-01-28|asfgit                        |       443|      40|          658|2015-01-28 23:58:41.000|
2015-01-16|asfgit                        |       439|      33|          601|2015-01-16 23:55:18.000|
2015-01-15|asfgit                        |       438|      22|          640|2015-01-15 23:58:59.000|
2015-02-04|asfgit                        |       432|      42|          776|2015-02-04 23:57:07.000|
2015-02-04|openstack-gerrit              |       421|       2|          625|2015-02-04 23:57:55.000|
2015-02-02|openstack-gerrit              |       421|       1|          641|2015-02-02 23:57:44.000|
2015-02-03|openstack-gerrit              |       418|       1|          617|2015-02-03 23:39:12.000|
2015-01-26|asfgit                        |       418|      28|          717|2015-01-26 23:58:46.000|
2015-01-20|asfgit                        |       404|      38|          718|2015-01-20 23:56:24.000|
2015-02-09|asfgit                        |       401|      47|          694|2015-02-09 23:56:41.000|
2015-01-14|asfgit                        |       397|      27|          672|2015-01-14 23:56:38.000|
2015-02-12|openstack-gerrit              |       394|       3|          617|2015-02-12 23:59:33.000|
2015-01-09|asfgit                        |       393|      34|          640|2015-01-09 23:42:06.000|
2015-02-11|openstack-gerrit              |       392|       3|          602|2015-02-11 23:47:25.000|
2015-01-19|asfgit                        |       390|      28|          606|2015-01-19 23:59:05.000|
